gen,PC1,PC2,PC3
1,-26.72484244,5.049525472,-8.681158622
2,-59.35154828,-0.070032295,-3.508335976
3,-42.90647613,-35.23647556,-2.319008222
4,-46.25776972,-6.308794267,9.387446493
5,-53.18526556,-13.87975297,-4.088449855
6,-55.24008292,-9.983995985,-24.33575747
7,-15.80168411,21.62261169,-17.139277
8,-0.325231541,41.45775785,-1.257928435
9,5.994259355,32.06441943,2.55402682
10,2.916051333,13.15934895,-24.97714133
11,13.95308277,11.63904244,-0.647372566
12,-15.68300475,6.065373149,5.527280187
13,11.37983626,13.21066315,-0.86608321
14,-6.639313597,3.651921642,-21.73346036
15,-4.412761241,4.93100958,-17.70574424
16,8.834311689,33.32981174,7.603517634
17,-27.19213428,-27.32176891,32.29294918
18,-28.52489668,7.01275931,-25.35250359
19,-2.458001435,0.48845119,5.236395694
20,-13.90683758,9.496363591,10.68396362
21,-8.996248733,1.659713477,-3.176078585
22,-22.58101234,9.831774274,7.50872466
23,-26.44648031,14.3253246,-23.44788836
24,-17.64221741,18.69564748,-0.780086104
25,-6.753055785,-24.24256155,45.64773173
26,-39.83973656,8.699731449,-3.647357208
27,-23.0506465,22.53752852,-5.008171486
28,-7.56444127,32.1229389,-2.629499079
29,-13.8500298,2.169122842,40.86045796
30,-32.30667901,-1.287479757,22.55473578
31,4.816085462,28.08107399,-14.14841647
32,4.895732204,-2.095962044,10.53114161
33,6.654824455,32.54406265,24.85111356
35,-16.23110297,26.49023019,-13.72067763
36,13.13494245,13.73574728,9.722748571
37,2.934478558,29.34969914,-6.724477639
38,19.12445274,16.17611757,31.73580505
39,5.718878027,32.05063005,5.506787905
40,-3.167188708,27.61952712,8.67175685
41,8.371321644,10.53180894,-5.721427807
42,8.978605626,43.28616547,-4.747279363
43,0.503212093,30.33148248,-19.86601028
44,19.61346309,-7.854346676,-22.59136393
45,-27.80797935,-1.157738128,8.303015326
46,-10.59340962,20.98005552,29.11831395
47,-6.432399813,22.96180916,-22.69877919
48,-13.95125632,12.14515553,-15.65544272
49,11.29947613,-1.405517238,33.89663865
50,1.531988965,2.91354328,-8.047414911
51,-28.85794853,18.38746527,11.19016092
52,-14.10436545,11.4316259,1.797952837
53,0.796740245,15.12577334,-0.332471528
54,-40.90437382,-44.78249752,1.270957152
55,-30.31622919,-20.46812816,-11.2395659
57,1.055851488,36.75112111,10.29289446
58,2.458016952,5.100261105,10.60319602
