gen,ID_2020_A,OR_2020_A,OR_2021_A,WA_2020_A,WA_2021_A,all_A,ID_2020_A2,OR_2020_A2,OR_2021_A2,WA_2020_A2,WA_2021_A2,all_A2,ID_2020_ADICP,OR_2020_ADICP,OR_2021_ADICP,WA_2020_ADICP,WA_2021_ADICP,all_ADICP,ID_2020_aNDForm,OR_2020_aNDForm,OR_2021_aNDForm,WA_2020_aNDForm,WA_2021_aNDForm,all_aNDForm,ID_2020_Ash,OR_2020_Ash,OR_2021_Ash,WA_2020_Ash,WA_2021_Ash,all_Ash,ID_2020_B,OR_2020_B,OR_2021_B,WA_2020_B,WA_2021_B,all_B,ID_2020_B1,OR_2020_B1,OR_2021_B1,WA_2020_B1,WA_2021_B1,all_B1,ID_2020_B2,OR_2020_B2,OR_2021_B2,WA_2020_B2,WA_2021_B2,all_B2,ID_2020_C,OR_2020_C,OR_2021_C,WA_2020_C,WA_2021_C,all_C,ID_2020_CP,OR_2020_CP,OR_2021_CP,WA_2020_CP,WA_2021_CP,all_CP,ID_2020_ER6,OR_2020_ER6,OR_2021_ER6,WA_2020_ER6,WA_2021_ER6,all_ER6,ID_2020_kd,OR_2020_kd,OR_2021_kd,WA_2020_kd,WA_2021_kd,all_kd,ID_2020_NDICP,OR_2020_NDICP,OR_2021_NDICP,WA_2020_NDICP,WA_2021_NDICP,all_NDICP,ID_2020_SP,OR_2020_SP,OR_2021_SP,WA_2020_SP,WA_2021_SP,all_SP,PC1,PC2,PC3
1,14.4998384286014,12.2042001828857,11.6665537376592,9.94622207553751,6.98334926162775,11.0600327372623,49.4807096449553,55.2784582274156,53.7122696730456,58.1492227728237,58.9988282723672,55.1238977181215,0.795571251999002,1.20487772507358,1.08469237906696,0.853998037717967,0.765296853855339,0.94088724954257,28.7138816884325,36.508812895147,36.0098941587706,34.226832574521,25.6950808340522,32.2309004301846,11.0894673884781,7.50084448627632,7.94129969664701,8.00038102702505,6.97531865530815,8.30146225074692,81.7529463335905,80.9848627147657,82.4967971629248,85.3953131766551,88.3612449896744,83.7982328755221,45.4497426915043,34.381211251226,36.7505215230776,33.9500968708621,33.4855517254282,36.8034248124196,1.75035830422451,3.99809189929543,3.22947664504826,2.75149153565606,2.44063658823041,2.83401099449093,3.56640117005859,6.93398740298389,6.07612190616575,4.75365796688464,4.58112140311734,5.18225796984204,21.5724473752051,16.7720241802774,17.4648426874013,17.9534617343418,17.1224106439072,18.1770373242265,58.5209163385139,49.2701682169591,51.7541938320882,49.4630535519203,50.3179882792485,51.865264043746,0.0665514136659487,0.0500689737735239,0.0563026797336374,0.054144536867773,0.059847007875785,0.0573829223833336,1.19441458592728,2.01204541055151,1.57889544345526,1.39242999686841,1.18307458307636,1.47217200397576,10.7051873846582,9.31420875773992,9.58382197946162,10.4772519400649,10.1730474361168,10.0507034996083,-26.72484244,5.049525472,-8.681158622
2,14.1950254718252,12.9638558866451,12.5155525786017,10.6830758972525,7.8306207039486,11.6376261076546,50.4115780660307,52.0021456068535,51.5072750382582,55.8834263699682,57.1439475670864,53.3896745296394,0.808798011225394,1.29386360009287,1.03615562991196,0.941511369954173,0.84337113430441,0.984739949097762,29.7675579757668,40.6015602151858,37.5786413562408,35.9413238045778,33.3953800182651,35.4568926740072,10.8370053433597,7.45831226840371,7.92991413638901,7.91093841262761,6.96038887443915,8.21931180704383,81.8374771804868,79.5579891354956,81.2528693516187,84.2883101471212,86.5738757475085,82.7021043124461,43.5161889945373,36.1445620083681,38.4701119233651,36.033318614523,34.4898342128415,37.730803150727,1.78422629991483,4.41669818964048,2.90485506624446,2.79717724039722,2.52281585500423,2.88515453024024,3.93543043599275,8.05563425864298,6.13358808163331,5.2450991724774,5.31083398875003,5.73611718749929,20.9335498755067,16.0230085937955,16.862574612362,17.9867617871509,16.214518847749,17.6040827433128,56.6079837461446,49.4864082902616,52.0576090261128,50.0058831761718,50.1012806029965,51.6518329683375,0.0650164396896802,0.0491803717457634,0.0555330370601545,0.0558477742268404,0.0572970441087176,0.0565749333662312,1.23957894108798,2.00295273547215,1.50265165205057,1.42927474178179,1.22531601281902,1.4799548166423,10.6322261869903,8.17815378249795,8.65370845989402,10.2338051361693,8.71982446748661,9.28354360660762,-59.35154828,-0.070032295,-3.508335976
3,15.328642213954,12.7625860651578,12.2079584899512,11.6966611431245,6.5613422780092,11.7114380380393,47.9571888637134,52.7411743332462,52.0046495459357,55.2661361789737,59.3479749995478,53.4634247842834,0.812231523796953,1.24075364943885,1.13457363805087,0.909850236489344,0.827402917769583,0.984962393109121,30.3509713294201,40.3818772198198,36.6486190658469,35.5771033581733,27.4377642409424,34.0792670428405,10.7964682003139,7.46057066477689,7.89032597261753,7.94197278348834,6.90847727793256,8.19956297982585,80.7310625234819,79.9418267224542,81.5714212838266,83.2199932303186,88.7796785961761,82.8487964712515,46.1536731076252,35.7700687132284,37.9810600393944,37.2996307641566,33.4076636075143,38.1224192463838,1.83886342493768,4.12462061813854,3.75360737707799,2.63009604118899,2.42960502133839,2.95535849653632,3.979361625851,7.64310376475762,6.46065906761101,5.08368915016941,5.04447367504688,5.64225745668718,21.3240705551852,16.360043029433,17.605131841764,18.1819204938661,17.33389017871,18.1610112197916,56.3155893047919,49.3576103488447,51.8772378973824,49.6356233179576,49.786871656107,51.3945865050167,0.0628165165240728,0.0502129074673683,0.0554028388338143,0.052464009685107,0.0568656741091804,0.0555523893239086,1.27554354295951,2.03319551039217,1.77742763969841,1.36505191093532,1.19008098089347,1.52825991697577,10.4593337511754,8.33887014517507,9.30497026440276,10.2633564703963,10.4850547467301,9.77031707557593,-42.90647613,-35.23647556,-2.319008222
4,14.8140865017029,13.1848526933836,12.9682508656379,9.43595733660127,7.59656544135491,11.5999425677361,49.1567538839031,52.1894121210256,51.633307473757,59.5187265595428,58.3534432705067,54.1703286617471,0.80915656852098,1.25798854522735,1.09076587725159,0.812688892931344,0.811996137519092,0.956519204290072,28.7836949390037,36.9251353572467,36.218971589915,34.9880686118915,28.663369746941,33.1158480489996,10.8772285723576,7.71247018589113,8.14564697743024,7.93402958046537,7.24327737267809,8.38253053776448,81.4351298728072,80.1389997808593,81.25346597034,85.7140620449075,87.8365019871714,83.2756319312171,45.3197898717015,36.3554668627889,39.1146191103985,33.3313546446371,34.6226592840469,37.7487779547146,1.71303727039554,4.24394145744186,3.30373967557732,2.42262083347251,2.21436071682768,2.77953999074298,3.7537406831169,6.93187424676173,5.8031617254443,4.85418315934192,4.70063385412985,5.20871873375894,22.8013461766361,18.1452601185375,18.5721277324018,18.2336266999035,18.791592607934,19.3087906670826,56.4123225129157,48.8860029056238,51.2316000669093,52.0029632662425,49.7104245875379,51.6486626678459,0.063422406297125,0.0498492214241451,0.0559254579795209,0.0623856097282868,0.0585972047680731,0.0580359800394302,1.27390382308434,2.0728251337726,1.7185781573388,1.312866067207,1.13525189631113,1.50268501554277,11.2417567838035,9.79003991988225,9.31730080166578,10.4814392749417,10.7859774829868,10.323302852656,-46.25776972,-6.308794267,9.387446493
5,13.8452428608641,13.1582946980663,12.3390655903499,10.5763083859216,6.99300702378668,11.3823837117977,50.0617844745061,52.1084359151543,51.5788095914819,57.3566837847197,57.8455610304058,53.7902549592536,0.801403500668781,1.22126981005086,1.00967516080736,1.03191181380022,0.822968685631699,0.977445794191785,28.7697377700134,41.1943603066091,38.0279422121028,36.0707100161529,27.4348817594837,34.2995264128724,10.7088179220413,7.15121544273817,7.57998263686119,8.0563364004641,6.50152690465212,7.99957586135138,82.3397125326222,79.6110413166656,81.5543391259986,84.2012697949946,87.6839911062206,83.0780707753003,44.3772738407964,36.6932547716703,38.4386682396085,34.3030769328899,33.9071810976835,37.5438909765297,1.75043371161039,4.05081076837274,2.97513211001855,3.10508677233573,2.78850493329442,2.93399365912637,3.71623429561881,7.24781431900696,6.12613738437562,5.21657252264575,5.1199454297818,5.48534079028579,22.0455504614058,16.34018529772,17.0002033062742,18.1600062091924,16.4219878591368,17.9935866267458,58.216173862795,50.0398115837032,52.817723382056,47.7030992671395,50.1380103287094,51.7829636848806,0.0672459517694554,0.0483378170119711,0.0548032745830669,0.0455655983707494,0.0548792105617316,0.0541663704593949,1.2172848423565,1.9395342436623,1.44852730921886,1.52303347051599,1.32131486038626,1.48993894522798,10.886168751552,8.31655007193288,8.34083975565468,10.3962505510174,8.90405380458384,9.36877258694816,-53.18526556,-13.87975297,-4.088449855
6,14.2133400574172,13.3858646596867,12.6803690343339,10.6395661335014,6.96459071152656,11.5767461192931,49.7292236537684,51.1119135693538,50.9081390296603,56.2972704938417,58.7344861830627,53.3562065859374,0.804645898874827,1.2306113132272,1.05901893394885,0.968979190582691,0.82207833426034,0.977066734178781,27.9108240643597,40.4707035938506,37.2306777347139,36.3453693671865,31.4818504806778,34.6878850481577,10.6872786843987,7.53709426465258,8.04172292968412,8.01305120819538,7.10700272086375,8.2772299615589,82.0077399027681,79.4444681433074,81.2779549320947,83.9479503140378,88.1929191085479,82.9742064801512,44.9557102523106,37.5341768427696,39.1610262909172,35.1385937736601,33.9836702891657,38.1546354897646,1.82197469701724,4.07816828342203,3.09001980499153,2.88896311057556,2.46719100714364,2.86926338063,3.70608202010513,7.3040166045681,5.94753298252559,5.2798677876021,5.10498770492747,5.46849741994568,22.4300013697565,16.7307812818279,17.3158598917884,17.5728815993901,16.89782583938,18.1894699964286,57.1638778529838,49.2478025660597,51.7275491205898,51.2901213366192,50.0507919311513,51.8960285614808,0.063084398125873,0.0511073862156415,0.0564683696668405,0.0587974119580537,0.060395968245048,0.0579707068422913,1.25134044491698,1.99371862129534,1.58116222388335,1.43147716285616,1.17836686126966,1.4872130628443,11.1224345932016,8.50182493030582,8.95771945003795,10.0726049465518,9.49799517835942,9.63051581969132,-55.24008292,-9.983995985,-24.33575747
7,11.8888807351306,13.2263911603331,12.6373114260401,9.68398168328044,7.69879384951301,11.0270717708594,54.3727408183977,51.7087619690092,51.3098246047064,59.1171560770779,57.9524254584681,54.8921817855319,0.796889925877755,1.21328584843139,1.11589468436678,0.95702729016066,0.826083629042458,0.981836275575808,24.1657140311292,35.0396467998351,36.7965102374265,35.3434995608809,29.5363514010344,32.1763444060612,11.0462731468526,7.92925156488584,8.14073933315827,7.71339991109376,7.23684202370068,8.41330119593822,84.5164069796148,79.9957110781658,81.3540878604183,84.9917624630909,87.35080312708,83.6417543016739,40.6768485670358,37.5773607940162,38.8107613082324,32.4436923306362,34.4861125907725,36.7989551181386,1.62071840522342,3.97675785012089,3.68869326009617,2.84147561941483,2.37807243826335,2.90114351462373,3.22892930665004,6.48350613057196,6.39125764873484,5.00556470169718,4.71638234700845,5.1651280269325,24.4246700803854,18.1733664125091,17.9725902808182,17.9386479931519,17.8878171027374,19.2794183739204,57.3470745589062,49.3137369243465,51.8181736651059,49.8231605392145,49.8753153144076,51.6354922003961,0.068763877770408,0.050039597481674,0.0553924729040672,0.0543123779120466,0.0568313299308002,0.0570679311997992,1.21057404138032,1.98842889871714,1.69605835957134,1.43603789398499,1.20665097488644,1.50755003370805,12.8881394174042,9.61236190854256,8.87464998419436,10.4726195630261,10.1850434428654,10.4065628632065,-15.80168411,21.62261169,-17.139277
8,14.4803872999339,14.1222515104019,12.8023074692493,9.49949548432771,7.65961621013354,11.7128115948093,48.8789868843091,49.9882211786049,50.1518816208884,58.4063997989538,58.0414686356819,53.0933916236876,0.808662556436679,1.26063042741405,1.03601669662456,0.874051872977868,0.831982351597372,0.962268781010105,27.521902302911,42.4300901071711,37.1172273309093,35.0793212444358,32.3316998509043,34.8960481672663,11.433746885536,7.66858344269541,8.07768492051925,8.12191576103997,7.15415935001642,8.49121807196142,81.7814281092557,78.593859177459,81.5736513024876,85.8774948352717,87.4745197803663,83.0601906409681,46.0869968993851,38.2817420319195,39.0204651433283,34.1692403106872,34.1845300835546,38.3485948937749,1.75765641053248,4.10737722027533,3.17395763770233,2.71165439826438,2.44890458204784,2.83991004976447,3.66658064941874,7.29772017533925,5.95444499787603,4.86035612249139,4.83240749766809,5.3223018885587,23.3542859357637,17.5606547869781,17.9966981578637,18.7056832766649,17.9241586335266,19.1082961581594,58.3990703727815,49.4303497891221,51.9797495324706,50.8278241398624,49.8095368622921,52.0893061393057,0.0659465850678928,0.0496790654328871,0.0557071066731441,0.0602961837119285,0.0578737678551573,0.057900541748202,1.26448019789284,2.00415706788299,1.62527872544396,1.42345149724899,1.29743420395755,1.52296033848527,11.6221532795504,8.76549308824342,9.67078095150432,10.7598837505655,10.3781279772392,10.2392878094206,-0.325231541,41.45775785,-1.257928435
9,15.5055047389804,13.1381748907143,12.8609501778408,13.451871955085,7.06373261886252,12.4040468762966,48.4560163178787,52.3136835542339,51.7169435229428,52.1035000030286,59.1988746447774,52.7578036085723,0.802670444940446,1.22055039726446,1.26801963706996,0.876894620856145,0.796173799441869,0.992861779914576,27.4867097750666,40.9468985166468,36.6648611298657,34.9807611275415,26.6925115291029,33.3543484156447,11.4408835035868,7.60308737838356,8.15835932362489,8.0090267483754,7.25994695579182,8.49426078195249,81.1973069038271,79.9505370258187,81.1485699451282,82.3527049127152,88.6411063151787,82.6580450205336,47.0993466138931,36.6711922154908,38.9081243726971,41.0008616187829,34.1842246451038,39.5727498931935,1.57150279285816,3.88869995163131,4.11537050186424,2.37904551874271,2.14236482938167,2.81939671889562,3.42477650997051,7.07230083497889,6.66120476599382,4.59742716649977,4.53110282703011,5.25736242089462,23.709178506821,17.1207312697476,18.5735489158538,19.6756597688887,18.7937349775038,19.574570687763,56.2807598205668,48.5931209120895,50.824841577981,51.1785410680259,49.8815806658245,51.3517688088975,0.0612081578285043,0.0489486467358569,0.0553323331773532,0.0504419163022544,0.0566320762649557,0.0545126260617849,1.2267898677252,2.04979971293085,1.93122789244992,1.32485167307204,1.13914784159636,1.53436339755487,11.6283691942095,8.9942492438738,9.92764908658076,10.6435603025576,11.0967686390001,10.4581192932444,5.994259355,32.06441943,2.55402682
10,14.7770856342838,12.9311339809062,12.1567400204311,9.45198512198661,7.21431048495629,11.3062510485128,48.7980700823128,52.1335731986867,51.5957272613569,58.8505243613462,58.3150085023632,53.9385806812131,0.808231201803613,1.27268250099029,1.11152460286865,0.963635940614695,0.837086643656717,0.998632177986795,27.5998416193993,40.1977161380997,35.481821094969,34.8370944171795,28.3864818588764,33.3005910257048,11.3338537086019,7.48513684322366,8.08762626160628,8.2103777716702,7.16719533951629,8.45683798492367,81.6299873334404,79.9804276191925,82.0517583498578,85.6434204536771,88.2329645193384,83.5077116551012,45.682678923897,36.3807437346983,38.2557259478657,32.7942285260144,34.2298569209595,37.468646810687,1.79998192881079,4.16228922521671,3.62007171020419,2.92767076214201,2.45715810541985,2.99343434635871,3.59628104763227,7.3707923183903,5.91507276126903,4.86746496336086,4.69059707093194,5.28804163231688,23.1634798898525,17.6084758417241,18.7045162113112,19.0656231503987,18.9911622329716,19.5066514652516,57.431423878539,49.1672243522766,51.6134353782144,47.2422820452168,49.8460968014851,51.0600924911464,0.0634591168259818,0.0489684291248745,0.0550830930209248,0.0449145594829867,0.0558062990697871,0.053646299504911,1.27850121058588,1.98716663090632,1.70185645841506,1.45019392239194,1.29505872999308,1.54255539045846,11.4592159300465,9.11402661877412,9.97876271258887,10.8465848112209,11.4821274927778,10.5761435130816,2.916051333,13.15934895,-24.97714133
