gen,BLUE,weight,env
1,3.76872674156959,9.74600073726857,ID_2020
10,3.78172747410411,9.23170377597541,ID_2020
100,3.09072700026376,9.83699070441753,ID_2020
101,3.90272685597957,9.54375071325607,ID_2020
102,3.86372700026376,9.83699070441753,ID_2020
103,4.11172716891226,8.26351112621835,ID_2020
104,4.08472698271862,8.26347651688048,ID_2020
105,NA,NA,ID_2020
106,3.6137267735425,9.74598254903471,ID_2020
107,2.79272705512712,7.13091694957986,ID_2020
108,3.46922714192688,9.29677858055734,ID_2020
109,3.62522714192688,9.29677858055734,ID_2020
11,3.58222699224835,9.32907192626466,ID_2020
110,4.0697270796879,8.26349517688582,ID_2020
111,3.35422710892692,8.78185548788624,ID_2020
112,3.79072744236544,9.23170528832481,ID_2020
113,2.99572720200782,7.13092056475753,ID_2020
114,3.84522694499488,9.32906925160214,ID_2020
115,3.58672677354249,9.74598254903471,ID_2020
116,3.56872685597957,9.54375071325607,ID_2020
117,3.72122694499488,9.32906925160214,ID_2020
118,3.33472680956496,9.74597097098289,ID_2020
119,3.76522730932574,9.73671708685834,ID_2020
12,3.09172692815611,9.54373528605906,ID_2020
120,3.42822705660968,9.29675346837902,ID_2020
121,3.13872675069887,9.74599238869581,ID_2020
122,4.26122732591709,9.73671238122876,ID_2020
123,3.26772675069887,9.74599238869581,ID_2020
124,3.53872700697676,9.54371709421712,ID_2020
125,3.68022730932574,9.73671708685834,ID_2020
126,3.19472711772965,9.83702475596942,ID_2020
127,3.53322714192688,9.29677858055734,ID_2020
128,3.64172700697676,9.54371709421712,ID_2020
129,3.24722707285595,8.78184963443363,ID_2020
13,3.72972692815611,9.54373528605905,ID_2020
130,3.5687270796879,8.26349517688583,ID_2020
131,3.93572675069887,9.7459923886958,ID_2020
132,4.10172698271862,8.26347651688049,ID_2020
133,3.98572735198837,9.23170666895881,ID_2020
134,3.6172271188649,9.29677185383835,ID_2020
135,NA,NA,ID_2020
136,3.6127267938598,9.54376368992708,ID_2020
137,3.17772702915356,9.28620396099859,ID_2020
138,3.5192273274026,9.73671442837976,ID_2020
139,3.56772685597957,9.54375071325607,ID_2020
14,3.33472674157079,9.74600073726936,ID_2020
140,2.9287271274138,7.1309191003917,ID_2020
141,4.23622699224835,9.32907192626467,ID_2020
142,3.11372700697676,9.54371709421711,ID_2020
143,3.4372269116059,9.32906585172225,ID_2020
144,3.22072711772965,9.83702475596942,ID_2020
145,3.66072735198837,9.23170666895881,ID_2020
146,3.69172720289437,9.28615111294636,ID_2020
147,3.9292271188649,9.29677185383835,ID_2020
148,3.48722732234129,9.73671598837277,ID_2020
149,3.52372692781013,9.83696934678742,ID_2020
15,3.08472700026376,9.83699070441753,ID_2020
150,3.53822705660968,9.29675346837903,ID_2020
151,3.59222714192688,9.29677858055735,ID_2020
152,3.47822732591709,9.73671238122877,ID_2020
153,3.57672747410411,9.23170377597541,ID_2020
154,3.74872716891226,8.26351112621836,ID_2020
155,3.41822709185457,9.29676355594737,ID_2020
156,3.53472702915355,9.28620396099859,ID_2020
157,3.42222709408163,8.78185304737866,ID_2020
158,2.98822707285595,8.78184963443362,ID_2020
159,3.53422709185457,9.29676355594737,ID_2020
16,3.64072716891226,8.26351112621835,ID_2020
160,3.41372674157079,9.74600073726936,ID_2020
161,3.3632271188649,9.29677185383835,ID_2020
162,3.73422705660968,9.29675346837903,ID_2020
163,3.6482269116059,9.32906585172225,ID_2020
164,3.01572711772965,9.83702475596942,ID_2020
165,3.16772720200782,7.13092056475754,ID_2020
166,3.46772716891226,8.26351112621836,ID_2020
