gen,BLUE,weight,env
1,0.0677727358871151,121559.262725972,ID_2020
10,0.0627727265206039,121225.732545935,ID_2020
100,0.0642727427893788,121230.869826912,ID_2020
101,0.0702727418671227,116765.602785935,ID_2020
102,0.0632727427893788,121230.869826912,ID_2020
103,0.0492727464482616,111632.0438058,ID_2020
104,0.063272750011179,111631.461772751,ID_2020
105,NA,NA,ID_2020
106,0.0657727381707414,121559.067731263,ID_2020
107,0.0657727324019028,99451.9102619689,ID_2020
108,0.0612727340381346,125460.623804966,ID_2020
109,0.0642727340381346,125460.623804966,ID_2020
11,0.0642727313391189,116935.6962834,ID_2020
110,0.0592727482186385,111631.772114416,ID_2020
111,0.0657727297024695,125324.910480685,ID_2020
112,0.0647727265443233,121225.742096632,ID_2020
113,0.0657727304843187,99451.9644415884,ID_2020
114,0.0662727324075541,116935.662293988,ID_2020
115,0.0637727381707413,121559.067731263,ID_2020
116,0.0722727418671227,116765.602785935,ID_2020
117,0.0652727324075541,116935.662293988,ID_2020
118,0.0647727392506574,121558.93907609,ID_2020
119,0.0622727272133621,125187.95079655,ID_2020
12,0.0652727428149445,116765.416011208,ID_2020
120,0.0742727383840976,125460.254188643,ID_2020
121,0.0667727370404583,121559.174625587,ID_2020
122,0.0642727286180546,125187.856234634,ID_2020
123,0.0587727370404582,121559.174625587,ID_2020
124,0.0672727437348549,116765.197570328,ID_2020
125,0.0692727272133621,125187.95079655,ID_2020
126,0.0582727394810276,121231.254534652,ID_2020
127,0.0652727340381345,125460.623804966,ID_2020
128,0.0522727437348549,116765.197570328,ID_2020
129,0.0647727315557568,125324.796247445,ID_2020
13,0.0722727428149444,116765.416011208,ID_2020
130,0.0622727482186385,111631.772114416,ID_2020
131,0.0667727370404583,121559.174625587,ID_2020
132,0.053272750011179,111631.461772751,ID_2020
133,0.0657727271513898,121225.738968914,ID_2020
134,0.0712727354015974,125460.521283985,ID_2020
135,NA,NA,ID_2020
136,0.0502727408829481,116765.761489947,ID_2020
137,0.0682727446402899,113827.390284539,ID_2020
138,0.0692727280044941,125187.893923206,ID_2020
139,0.0692727418671227,116765.602785935,ID_2020
14,0.0627727358870808,121559.262725996,ID_2020
140,0.0657727313930091,99451.9400401766,ID_2020
141,0.067272731339119,116935.6962834,ID_2020
142,0.0632727437348549,116765.197570328,ID_2020
143,0.0692727335109898,116935.62067893,ID_2020
144,0.0632727394810276,121231.254534652,ID_2020
145,0.0587727271513898,121225.738968913,ID_2020
146,0.0692727463952789,113826.796206256,ID_2020
147,0.0602727354015974,125460.521283985,ID_2020
148,0.0622727275321118,125187.925443464,ID_2020
149,0.0662727445033077,121230.628676146,ID_2020
15,0.0622727427893788,121230.869826912,ID_2020
150,0.0662727383840976,125460.254188643,ID_2020
151,0.0732727340381345,125460.623804966,ID_2020
152,0.0662727286180546,125187.856234634,ID_2020
153,0.064772726520604,121225.732545935,ID_2020
154,0.0492727464482616,111632.0438058,ID_2020
155,0.0682727368594984,125460.39912558,ID_2020
156,0.0662727446402899,113827.390284538,ID_2020
157,0.066772730570433,125324.858060274,ID_2020
158,0.0647727315557568,125324.796247445,ID_2020
159,0.0652727368594984,125460.39912558,ID_2020
16,0.0622727464482615,111632.0438058,ID_2020
160,0.0617727358870807,121559.262725996,ID_2020
161,0.0662727354015973,125460.521283985,ID_2020
162,0.0712727383840976,125460.254188643,ID_2020
163,0.0672727335109898,116935.62067893,ID_2020
