"R_DM.N","R_DM.Sample","R_DM.Block","R_DM.Column","R_DM.Row","R_DM.C_Row","R_DM.Position","R_DM.Treatment","R_DM.Location","R_DM.Year","R_DM.Env","R_DM.Res","R_DM.Cov1","R_DM.Cov2","R_CP.N","R_CP.Sample","R_CP.Block","R_CP.Column","R_CP.Row","R_CP.C_Row","R_CP.Position","R_CP.Treatment","R_CP.Location","R_CP.Year","R_CP.Env","R_CP.Res","R_CP.Cov1","R_CP.Cov2","R_Ash.N","R_Ash.Sample","R_Ash.Block","R_Ash.Column","R_Ash.Row","R_Ash.C_Row","R_Ash.Position","R_Ash.Treatment","R_Ash.Location","R_Ash.Year","R_Ash.Env","R_Ash.Res","R_Ash.Cov1","R_Ash.Cov2","R_aNDForm.N","R_aNDForm.Sample","R_aNDForm.Block","R_aNDForm.Column","R_aNDForm.Row","R_aNDForm.C_Row","R_aNDForm.Position","R_aNDForm.Treatment","R_aNDForm.Location","R_aNDForm.Year","R_aNDForm.Env","R_aNDForm.Res","R_aNDForm.Cov1","R_aNDForm.Cov2","R_ADICP.N","R_ADICP.Sample","R_ADICP.Block","R_ADICP.Column","R_ADICP.Row","R_ADICP.C_Row","R_ADICP.Position","R_ADICP.Treatment","R_ADICP.Location","R_ADICP.Year","R_ADICP.Env","R_ADICP.Res","R_ADICP.Cov1","R_ADICP.Cov2","R_NDICP.N","R_NDICP.Sample","R_NDICP.Block","R_NDICP.Column","R_NDICP.Row","R_NDICP.C_Row","R_NDICP.Position","R_NDICP.Treatment","R_NDICP.Location","R_NDICP.Year","R_NDICP.Env","R_NDICP.Res","R_NDICP.Cov1","R_NDICP.Cov2","R_SP.N","R_SP.Sample","R_SP.Block","R_SP.Column","R_SP.Row","R_SP.C_Row","R_SP.Position","R_SP.Treatment","R_SP.Location","R_SP.Year","R_SP.Env","R_SP.Res","R_SP.Cov1","R_SP.Cov2","R_A2.N","R_A2.Sample","R_A2.Block","R_A2.Column","R_A2.Row","R_A2.C_Row","R_A2.Position","R_A2.Treatment","R_A2.Location","R_A2.Year","R_A2.Env","R_A2.Res","R_A2.Cov1","R_A2.Cov2","R_B1.N","R_B1.Sample","R_B1.Block","R_B1.Column","R_B1.Row","R_B1.C_Row","R_B1.Position","R_B1.Treatment","R_B1.Location","R_B1.Year","R_B1.Env","R_B1.Res","R_B1.Cov1","R_B1.Cov2","R_B2.N","R_B2.Sample","R_B2.Block","R_B2.Column","R_B2.Row","R_B2.C_Row","R_B2.Position","R_B2.Treatment","R_B2.Location","R_B2.Year","R_B2.Env","R_B2.Res","R_B2.Cov1","R_B2.Cov2","R_C.N","R_C.Sample","R_C.Block","R_C.Column","R_C.Row","R_C.C_Row","R_C.Position","R_C.Treatment","R_C.Location","R_C.Year","R_C.Env","R_C.Res","R_C.Cov1","R_C.Cov2","R_A.N","R_A.Sample","R_A.Block","R_A.Column","R_A.Row","R_A.C_Row","R_A.Position","R_A.Treatment","R_A.Location","R_A.Year","R_A.Env","R_A.Res","R_A.Cov1","R_A.Cov2","R_B.N","R_B.Sample","R_B.Block","R_B.Column","R_B.Row","R_B.C_Row","R_B.Position","R_B.Treatment","R_B.Location","R_B.Year","R_B.Env","R_B.Res","R_B.Cov1","R_B.Cov2","R_kd.N","R_kd.Sample","R_kd.Block","R_kd.Column","R_kd.Row","R_kd.C_Row","R_kd.Position","R_kd.Treatment","R_kd.Location","R_kd.Year","R_kd.Env","R_kd.Res","R_kd.Cov1","R_kd.Cov2","R_ERD6.N","R_ERD6.Sample","R_ERD6.Block","R_ERD6.Column","R_ERD6.Row","R_ERD6.C_Row","R_ERD6.Position","R_ERD6.Treatment","R_ERD6.Location","R_ERD6.Year","R_ERD6.Env","R_ERD6.Res","R_ERD6.Cov1","R_ERD6.Cov2"
663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",92.637,92.22,91.92,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",22.988,21.662,23.501,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",11.445,11.904,12.174,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",28.059,28.55,26.797,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",0.79,0.805,0.694,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",1.178,1.178,0.965,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",12.439,12.045,12.196,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",54.57,56.111,53.57,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",40.482,38.462,42.59,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",1.609,1.595,1.066,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",3.607,3.858,2.899,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",10.983,10.718,11.829,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",85.274,85.257,84.903,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",0.071,0.071,0.073,663,"120101","1","1","1","1","1","80","ID","2020","ID_2020",56.561,56.718,59.216
667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",92.22,92.22,91.92,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",21.662,21.662,23.501,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",11.904,11.904,12.174,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",28.55,28.55,26.797,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",0.805,0.805,0.694,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",1.178,1.178,0.965,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",12.045,12.045,12.196,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",56.111,56.111,53.57,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",38.462,38.462,42.59,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",1.595,1.595,1.066,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",3.858,3.858,2.899,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",10.718,10.718,11.829,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",85.257,85.257,84.903,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",0.071,0.071,0.073,667,"120105","1","2","1","1","5","201","ID","2020","ID_2020",56.718,56.718,59.216
671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",92.869,92.22,91.92,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",23.273,21.662,23.501,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",12.202,11.904,12.174,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",26.052,28.55,26.797,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",0.966,0.805,0.694,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",1.547,1.178,0.965,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",12.795,12.045,12.196,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",54.041,56.111,53.57,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",39.043,38.462,42.59,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",2.378,1.595,1.066,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",4.256,3.858,2.899,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",11.434,10.718,11.829,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",84.192,85.257,84.903,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",0.063,0.071,0.073,671,"120109","1","3","1","1","9","40","ID","2020","ID_2020",54.375,56.718,59.216
675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",92.335,92.22,91.92,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",21.682,21.662,23.501,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",11.792,11.904,12.174,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",29.43,28.55,26.797,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",0.789,0.805,0.694,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",1.164,1.178,0.965,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",11.72,12.045,12.196,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",54.889,56.111,53.57,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",39.828,38.462,42.59,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",1.55,1.595,1.066,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",3.875,3.858,2.899,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",11.33,10.718,11.829,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",84.669,85.257,84.903,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",0.073,0.071,0.073,675,"120113","1","4","1","1","13","72","ID","2020","ID_2020",57.738,56.718,59.216
679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",92.788,92.22,91.92,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",24.653,21.662,23.501,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",11.956,11.904,12.174,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",26.646,28.55,26.797,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",0.864,0.805,0.694,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",1.303,1.178,0.965,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",12.68,12.045,12.196,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",49.962,56.111,53.57,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",44.963,38.462,42.59,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",1.566,1.595,1.066,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",3.241,3.858,2.899,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",14.862,10.718,11.829,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",81.679,85.257,84.903,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",0.057,0.071,0.073,679,"120117","1","5","1","1","17","44","ID","2020","ID_2020",54.619,56.718,59.216
664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",92.712,92.22,91.92,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",22.01,21.662,23.501,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",11.779,11.904,12.174,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",29.148,28.55,26.797,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",0.866,0.805,0.694,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",1.283,1.178,0.965,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",12.459,12.045,12.196,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",56.204,56.111,53.57,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",37.867,38.462,42.59,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",1.727,1.595,1.066,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",3.879,3.858,2.899,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",11.204,10.718,11.829,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",84.9,85.257,84.903,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",0.062,0.071,0.073,664,"120102","1","1","2","2","2","132","ID","2020","ID_2020",54.983,56.718,59.216
668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",92.459,92.22,91.92,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",22.659,21.662,23.501,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",11.243,11.904,12.174,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",28.213,28.55,26.797,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",0.806,0.805,0.694,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",1.246,1.178,0.965,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",11.822,12.045,12.196,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",53.257,56.111,53.57,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",40.961,38.462,42.59,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",1.788,1.595,1.066,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",3.862,3.858,2.899,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",11.079,10.718,11.829,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",84.89,85.257,84.903,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",0.072,0.071,0.073,668,"120106","1","2","2","2","6","104","ID","2020","ID_2020",56.66,56.718,59.216
672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",92.498,92.22,91.92,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",23.178,21.662,23.501,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",11.772,11.904,12.174,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",27.362,28.55,26.797,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",0.759,0.805,0.694,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",1.203,1.178,0.965,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",12.15,12.045,12.196,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",54.078,56.111,53.57,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",40.851,38.462,42.59,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",1.591,1.595,1.066,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",3.532,3.858,2.899,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",10.748,10.718,11.829,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",85.584,85.257,84.903,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",0.076,0.071,0.073,672,"120110","1","3","2","2","10","78","ID","2020","ID_2020",58.753,56.718,59.216
676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",92.839,92.22,91.92,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",22.61,21.662,23.501,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",11.84,11.904,12.174,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",27.51,28.55,26.797,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",0.894,0.805,0.694,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",1.364,1.178,0.965,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",12.379,12.045,12.196,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",53.998,56.111,53.57,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",39.73,38.462,42.59,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",1.959,1.595,1.066,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",3.783,3.858,2.899,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",12.347,10.718,11.829,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",83.755,85.257,84.903,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",0.059,0.071,0.073,676,"120114","1","4","2","2","14","178","ID","2020","ID_2020",54.9,56.718,59.216
680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",92.332,92.22,91.92,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",23.207,21.662,23.501,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",11.339,11.904,12.174,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",27.949,28.55,26.797,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",0.758,0.805,0.694,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",1.111,1.178,0.965,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",11.196,12.045,12.196,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",48.821,56.111,53.57,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",46.439,38.462,42.59,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",1.53,1.595,1.066,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",3.464,3.858,2.899,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",14.211,10.718,11.829,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",82.235,85.257,84.903,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",0.069,0.071,0.073,680,"120118","1","5","2","2","18","51","ID","2020","ID_2020",57.458,56.718,59.216
