cons,gen
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,57
56,58
57,59
58,60
59,61
60,62
61,63
62,64
63,65
64,66
65,67
66,68
67,69
68,70
69,71
70,72
71,73
72,74
73,75
74,76
75,77
76,78
77,79
78,80
79,81
80,82
81,83
82,84
83,85
84,86
85,87
86,88
87,89
88,90
89,92
90,93
91,94
92,95
93,96
94,97
95,99
96,100
97,101
98,103
99,104
100,105
101,106
102,107
103,108
104,109
105,112
106,113
107,115
108,116
109,117
110,118
111,119
112,120
113,121
114,122
115,123
116,124
117,125
118,126
119,127
120,128
121,129
122,130
123,131
124,132
125,133
126,134
127,135
128,136
129,137
130,138
131,139
132,140
133,141
134,142
135,143
136,144
137,145
138,146
139,147
140,148
141,149
142,150
143,151
144,152
145,153
146,154
147,155
148,156
149,157
150,158
151,159
152,160
153,161
154,162
155,163
156,164
157,165
158,166
159,167
160,168
161,169
162,170
163,171
164,172
165,173
166,174
167,175
168,176
169,177
170,178
171,179
172,180
173,181
174,182
175,183
176,184
177,185
178,186
179,187
180,188
181,189
182,190
183,191
184,192
185,193
186,194
187,195
188,196
189,197
190,198
191,201
192,202
193,
194,
195,
196,
197,
198,
201,
202,
