N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
663,120101,92.637,22.988,11.445,28.059,0.79,1.178,12.439,54.57,40.482,1.609,3.607,10.983,85.274,0.071,56.561,1,1,1,1,80,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
664,120102,92.712,22.01,11.779,29.148,0.866,1.283,12.459,56.204,37.867,1.727,3.879,11.204,84.9,0.062,54.983,1,1,2,2,132,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
665,120103,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216,1,1,3,3,202,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
666,120104,92.516,21.391,10.666,30.514,0.854,1.312,11.936,55.38,38.428,1.891,3.889,12.033,84.041,0.058,54.059,1,1,4,4,103,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
667,120105,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,1,2,1,5,201,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
668,120106,92.459,22.659,11.243,28.213,0.806,1.246,11.822,53.257,40.961,1.788,3.862,11.079,84.89,0.072,56.66,1,2,2,6,104,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
669,120107,92.45,24.249,11.766,26.826,0.752,1.172,12.391,51.026,44.239,1.347,3.289,12.693,83.99,0.071,57.341,1,2,3,7,43,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
670,120108,92.505,22.457,11.775,26.584,0.849,1.29,12.457,54.775,39.681,1.865,3.526,12.115,84.207,0.058,54.764,1,2,4,8,154,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
671,120109,92.869,23.273,12.202,26.052,0.966,1.547,12.795,54.041,39.043,2.378,4.256,11.434,84.192,0.063,54.375,1,3,1,9,40,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
672,120110,92.498,23.178,11.772,27.362,0.759,1.203,12.15,54.078,40.851,1.591,3.532,10.748,85.584,0.076,58.753,1,3,2,10,78,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
673,120111,92.978,22.235,11.845,28.231,0.849,1.256,11.593,51.491,42.56,1.853,3.67,13.326,83.015,0.062,56.009,1,3,3,11,91,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
674,120112,92.838,22.848,11.701,28.565,0.87,1.318,11.955,51.586,42.634,1.834,3.697,13.962,82.316,0.058,54.201,1,3,4,12,48,ID_2020,ID,2020,ID_2020,92.22,21.662,11.904,28.55,0.805,1.178,12.045,56.111,38.462,1.595,3.858,10.718,85.257,0.071,56.718,91.92,23.501,12.174,26.797,0.694,0.965,12.196,53.57,42.59,1.066,2.899,11.829,84.903,0.073,59.216
