N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1099,15333,94.303,17.419,8.294,36.743,1.03,1.509,8.669,50.987,39.695,2.999,6.013,12.253,81.86,0.063,54.095,11,1,1,1,2,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1100,15334,94.028,16.39,8.346,39.86,1.185,1.78,8.234,49.849,39.551,3.853,7.053,13.383,79.72,0.067,54.422,1,2,2,4,55,OR_2021,OR,2021,OR_2021,94.035,18.291,8.791,38.276,1.168,1.813,9.21,49.273,40.181,3.648,6.371,13.828,80.025,0.054,50.038,94.237,15.227,8.047,39.093,1.017,1.498,8.122,54.014,36.382,3.063,6.351,11.778,81.808,0.066,54.221
1101,15335,94.097,18.169,8.156,34.474,1.121,1.836,10.114,55.185,34.49,3.805,6.243,10.03,83.803,0.059,51.796,8,3,2,6,118,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1103,15337,94.009,16.514,7.432,35.842,1.069,1.605,8.99,53.756,36.275,3.426,6.104,11.591,82.462,0.061,52.675,10,9,2,18,7,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1106,15340,93.281,19.128,8.777,35.76,1.09,1.735,9.086,48.113,42.392,3.332,5.779,15.811,78.366,0.048,48.632,10,4,1,7,83,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1107,15341,94.246,19.444,8.176,35.021,1.026,1.555,9.618,49.428,41.89,2.896,5.303,13.608,81.164,0.057,52.842,6,3,1,5,188,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1110,15344,93.923,18.993,8.074,34.155,1.038,1.599,9.696,51.353,39.371,3.213,5.675,12.165,82.26,0.06,52.96,10,3,2,6,45,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1111,15345,93.874,19.203,8.426,36.613,1.107,1.646,9.052,47.354,43.449,3.216,5.899,15.27,79.051,0.052,51.971,10,2,1,3,80,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1113,15347,93.901,21.014,8.367,31.051,1.099,1.763,11.893,55.271,35.741,3.51,5.349,9.611,85.147,0.057,50.488,4,5,2,10,44,OR_2021,OR,2021,OR_2021,94.113,17.074,7.923,40.579,1.174,1.725,8.689,50.439,38.776,3.567,6.707,13.2,80.236,0.052,49.645,94.005,19.063,8.002,37.205,1.103,1.587,9.442,49.902,40.613,3.009,5.633,14.468,79.875,0.043,48.606
1114,15348,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,10,9,1,17,201,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1115,15349,94.115,20.22,7.735,33.638,1.038,1.459,11.546,56.835,34.814,2.648,5.067,9.789,85.263,0.048,48.123,11,6,2,12,42,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1116,15350,93.516,20.331,8.283,35.734,1.15,1.854,9.786,47.508,42.674,3.825,5.802,15.464,78.921,0.05,49.64,5,9,2,18,39,OR_2021,OR,2021,OR_2021,93.578,19.135,8.274,39.5,1.283,1.942,8.807,45.328,43.128,3.915,6.893,17.1,76.308,0.038,46.75,94.013,18.475,8.796,33.009,1.039,1.641,10.247,54.8,35.984,3.223,5.543,10.89,83.475,0.062,52.138
1118,15352,93.963,18.376,8.18,35.303,1.093,1.742,10.147,54.766,35.579,3.534,5.866,10.856,83.291,0.053,49.326,7,9,2,18,174,OR_2021,OR,2021,OR_2021,94.396,14.927,7.293,38.095,1.078,1.584,8.102,53.788,35.658,3.375,6.628,10.702,82.545,0.062,53.62,93.642,20.723,9.845,34.8,1.092,1.666,9.617,45.289,45.749,2.984,5.475,16.285,78.309,0.055,52.229
1119,15353,93.888,17.131,7.649,33.807,1.012,1.471,9.579,56.108,35.17,2.815,5.83,10.122,84.003,0.064,55.516,8,1,2,2,66,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1120,15354,94.032,18.369,8.079,38.813,1.106,1.692,10.001,54.091,36.041,3.181,5.963,12.336,81.783,0.054,50.607,10,1,2,2,157,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1121,15355,94.268,18.311,8.441,35.449,0.973,1.442,9.453,51.873,39.753,2.689,5.315,12.142,82.597,0.06,52.466,10,2,2,4,6,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
