N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1102,15336,94.098,22.22,8.041,25.926,0.795,1.224,11.574,52.744,41.613,1.745,3.543,10.989,85.373,0.06,53.526,2,2,3,7,76,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
1104,15338,93.899,19.143,8.151,31.005,0.897,1.302,10.593,55.811,37.136,2.3,4.709,10.162,85.031,0.057,50.402,1,1,1,1,123,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
1105,15339,94.792,15.218,6.408,30.028,0.82,1.301,9.21,60.456,30.652,2.878,5.429,6.412,87.922,0.052,47.194,7,2,2,6,11,WA_2021,WA,2021,WA_2021,94.792,16.708,6.462,28.464,0.821,1.227,9.704,57.954,33.887,2.732,5.239,6.382,88.29,0.058,49.24,94.605,19.437,7.775,28.973,0.883,1.242,11.19,57.461,35.208,2.425,4.651,7.369,87.965,0.052,48.387
1108,15342,94.738,16.938,6.566,25.68,0.787,1.206,10.268,61.362,30.654,2.682,4.917,5.381,89.45,0.051,47.535,7,5,2,18,129,WA_2021,WA,2021,WA_2021,94.792,16.708,6.462,28.464,0.821,1.227,9.704,57.954,33.887,2.732,5.239,6.382,88.29,0.058,49.24,94.605,19.437,7.775,28.973,0.883,1.242,11.19,57.461,35.208,2.425,4.651,7.369,87.965,0.052,48.387
1109,15343,94.743,17.315,6.583,26.823,0.81,1.242,9.9,58.151,33.717,2.737,5.146,6.64,88.176,0.059,50.423,7,2,3,7,135,WA_2021,WA,2021,WA_2021,94.792,16.708,6.462,28.464,0.821,1.227,9.704,57.954,33.887,2.732,5.239,6.382,88.29,0.058,49.24,94.605,19.437,7.775,28.973,0.883,1.242,11.19,57.461,35.208,2.425,4.651,7.369,87.965,0.052,48.387
1112,15346,94.241,20.34,7.865,28.865,0.849,1.324,12.223,60.617,32.388,2.289,4.316,5.987,89.717,0.058,46.918,5,1,3,3,128,WA_2021,WA,2021,WA_2021,94.501,18.286,7.248,30.974,0.847,1.162,10.388,57.085,35.493,2.146,4.879,7.711,87.447,0.058,50.112,94.829,18.082,7.153,28.978,0.919,1.326,10.392,57.328,34.178,2.95,5.327,7.085,87.494,0.053,48.537
1117,15351,94.455,18.043,7.355,30.69,0.852,1.208,10.566,58.799,33.505,2.277,4.831,7.572,87.461,0.056,48.89,11,1,1,1,167,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1124,15358,94.665,16.398,6.369,27.773,0.826,1.26,9.73,59.103,32.548,2.824,5.222,6.313,88.357,0.058,50.571,10,3,2,10,21,WA_2021,WA,2021,WA_2021,94.884,17.226,6.054,28.854,0.835,1.311,9.653,57.041,34.363,2.907,5.187,6.899,87.877,0.055,49.133,94.489,18.331,7.684,29.345,0.864,1.262,10.757,58.453,33.942,2.407,4.777,8.008,87.092,0.051,47.072
1125,15359,94.735,18.079,7.499,30.687,0.844,1.289,9.568,54.155,38.518,2.555,4.832,9.89,85.173,0.058,51.08,3,5,2,18,182,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1130,15364,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057,1,4,3,15,202,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
